phase_group,sub_phase,district,province,floors,delay_category,labour_availability,material_supply,weather_severity,cumulative_delay,delay_risk,delay_days,cause_of_delay,corrective_action_taken,construction_status
Pre-Construction & Approvals,Site selection & surveying,Trincomalee,Eastern Province,1,Owner / Social / Behavioural,0.68,1,0.36,4,LOW,10,Religious belief required specific auspicious date for foundation laying,Construction recommenced after auspicious date ceremony completed,Completed on revised schedule
Structure,Columns & beams,Gampaha,Western Province,1,Labour,0.3,1,0.25,6,MEDIUM,18,Construction workers migrated from Gampaha to Middle East for higher wages,New crew hired from rural Gampaha areas at competitive retention wage,Completed
Site Preparation,Earthworks & grading,Hambantota,Southern Province,2,Environmental & Site,0.85,1,0.67,3,LOW,10,Coastal wind erosion depositing sand on foundation excavation daily in Hambantota,Wind break barrier erected around excavation perimeter before work resumed,Completed after barrier installation
Structure,Floor slabs,Ampara,Eastern Province,1,Financial & Funding,0.81,1,0.37,32,HIGH,180,Post-war returnee unable to access any construction funds in Ampara,DS office social welfare housing grant applied and eventually approved,Completed with government grant support
Site Preparation,Earthworks & grading,Ampara,Eastern Province,1,Environmental & Site,0.57,1,0.81,5,LOW,12,Tree roots from old jak trees damaged foundation trench during earthworks in Ampara,Roots removed by arborist and foundation trench properly reinstated,Ongoing - roof level reached
Pre-Construction & Approvals,Architectural & structural design,Trincomalee,Eastern Province,1,Design & Technical,0.64,1,0.41,7,MEDIUM,44,Building footprint encroached on road reservation in Trincomalee town,Plan revised and resubmitted to Urban Development Authority office,Completed after plan revision
Foundations,Soil investigation,Ampara,Eastern Province,2,Design & Technical,0.71,1,0.8,15,MEDIUM,45,Foundation design unsuitable for Ampara coastal sandy alluvial soil,Geotechnical report obtained and pile foundation type adopted,Completed after foundation redesign
Pre-Construction & Approvals,Authority approvals,Mannar,Northern Province,1,Land & Legal,0.7,1,0.25,39,HIGH,87,Land gifted by parent not legally transferred before construction began in Mannar,Deed prepared and registered at Mannar Land Registry office,Completed after legal documentation
Structure,Floor slabs,Colombo,Western Province,1,Financial & Funding,0.72,1,0.32,20,HIGH,240,Owner financial difficulties due to COVID-19 job loss in Colombo,NHDA supplementary housing grant applied and construction resumed,Completed after significant delay
Pre-Construction & Approvals,Architectural & structural design,Vavuniya,Northern Province,1,Design & Technical,0.79,1,0.26,8,MEDIUM,45,Building footprint encroached on road reservation requiring plan redesign,Plan revised and resubmitted to Vavuniya local authority for approval,Completed after plan revision
Finishes,Tiling,Matara,Southern Province,1,Material Supply & Quality,0.61,0,0.27,5,MEDIUM,30,Roofing tiles unavailable in Matara during supply chain disruption,Alternative Colombo supplier identified with express priority delivery,Completed after supply arrangement
Structure,Roof slab,Ampara,Eastern Province,2,Labour,0.26,1,0.37,19,MEDIUM,20,Labour shortage in remote Ampara Mahaoya area for roof slab construction,Contractor sourced workers from Ampara town with transport support,Completed after sourcing delay
MEP Rough-Ins,Electrical conduit work,Colombo,Western Province,1,Design & Technical,0.55,1,0.3,13,MEDIUM,25,Unexpected underground utilities encountered during Colombo excavation,CEB and NWS&DB notified and underground utilities officially relocated,Completed after utility relocation
Foundations,Foundation work,Mannar,Northern Province,1,Design & Technical,0.72,1,0.73,56,HIGH,55,Foundation design unsuitable for Mannar coastal sandy and limestone bedrock,Geotechnical consultant engaged and raft foundation on piles designed,Completed after redesign
Finishes,Internal plastering,Batticaloa,Eastern Province,2,Labour,0.25,1,0.39,7,MEDIUM,14,Plastering subcontractor abandoned work mid-phase in Batticaloa,New subcontractor engaged within one week at same contract rate,Completed after personnel change
Structure,Columns & beams,Gampaha,Western Province,1,Material Supply & Quality,0.64,0,0.3,22,HIGH,60,Cement shortage in Gampaha during 2022 foreign exchange crisis,Alternative Colombo supplier found and bulk purchase made in advance,Completed with cost overrun
Foundations,Foundation work,Jaffna,Northern Province,1,Environmental & Site,0.61,1,0.79,13,MEDIUM,35,Saltwater corrosion of steel reinforcement in coastal Jaffna foundation near sea,Epoxy coated marine grade steel used as replacement material,Completed with additional cost
Foundations,Foundation work,Matara,Southern Province,2,Labour,0.29,1,0.26,5,LOW,12,Primary mason fell ill during peak foundation construction phase in Matara,Replacement mason sourced from Galle district within one week,Completed
Structure,Roof slab,Matara,Southern Province,1,Financial & Funding,0.75,1,0.3,17,MEDIUM,18,NHDA housing loan instalment withheld pending scheduled site inspection,Inspection conducted and funds released by NHDA after two weeks,Completed after funding release
Structure,Floor slabs,Colombo,Western Province,1,Material Supply & Quality,0.84,0,0.29,38,HIGH,120,Building material price escalation exceeded Colombo project budget by 30 percent,Value engineering exercise conducted to reduce specification and cost,Completed with reduced specification
MEP Rough-Ins,Plumbing & drainage,Batticaloa,Eastern Province,1,Material Supply & Quality,0.75,0,0.93,54,HIGH,70,Material delivery delayed due to flooding of access roads in Batticaloa,Waterway boat transport used as alternative delivery route via lagoon,Completed after alternative supply route
Pre-Construction & Approvals,BOQ preparation & tendering,Ampara,Eastern Province,1,Land & Legal,0.72,1,0.37,7,MEDIUM,42,Deed not registered at Land Registry due to stamp duty cost in Ampara,Family mediated and deed registration completed at Ampara registry,Stalled awaiting further funding
Structure,Columns & beams,Colombo,Western Province,1,Labour,0.26,1,0.28,11,MEDIUM,18,Subcontractor walked off Colombo site due to payment dispute with owner,New subcontractor engaged immediately with revised payment schedule,Completed after contractor change
Envelope & Waterproofing,Roof waterproofing,Mullaitivu,Northern Province,1,Design & Technical,0.89,1,0.33,9,MEDIUM,18,Roof slope incorrectly designed causing water pooling and leakage in Mullaitivu,Reroofing with corrected slope angle completed by roofing specialist,Completed after rework
Foundations,Foundation work,Matara,Southern Province,1,Environmental & Site,0.58,1,0.76,49,HIGH,70,Southwest monsoon flooding of foundation excavation in Matara coastal area,Dewatering pumps installed and drainage channel constructed on site,Completed after significant delay
Site Preparation,Site clearing & hoarding,Kilinochchi,Northern Province,2,Environmental & Site,0.56,1,0.71,12,MEDIUM,21,Wild elephant entry damaged site hoarding and equipment in Kilinochchi,Electric fence erected around entire construction perimeter before restart,Completed with additional protection cost
Envelope & Waterproofing,Roof waterproofing,Kalutara,Western Province,1,Environmental & Site,0.74,1,0.81,4,LOW,12,Heavy rainfall during southwest monsoon delayed roofing and waterproofing in Kalutara,Temporary weather protection installed and work resumed after rain stopped,Completed
Pre-Construction & Approvals,Authority approvals,Ampara,Eastern Province,1,Land & Legal,0.62,1,0.36,39,HIGH,486,Inherited land with no clear title deed among siblings in Ampara,Partition action filed at Ampara Land Registry and settlement reached,Stalled awaiting funding
Structure,Floor slabs,Vavuniya,Northern Province,1,Financial & Funding,0.79,1,0.29,50,HIGH,100,Owner financial difficulties due to 2022 economic crisis in Vavuniya,Phased approach adopted and specification reduced to manage cash flow,Completed with delay
Finishes,Tiling,Trincomalee,Eastern Province,2,Design & Technical,0.7,1,0.37,5,MEDIUM,18,Septic tank location conflicting with neighbour well requiring redesign,Septic tank relocated to compliant position with engineer certification,Completed after design change
Structure,Columns & beams,Galle,Southern Province,1,Labour,0.27,1,0.84,18,MEDIUM,20,Construction workers unavailable during peak SW monsoon season in Galle,Work scheduled around weather windows and core crew retained on site,Completed on revised schedule
Pre-Construction & Approvals,BOQ preparation & tendering,Mannar,Northern Province,1,Financial & Funding,0.82,1,0.28,21,HIGH,65,Bank loan rejected due to inadequate collateral value for Mannar property,Alternative microfinance obtained through NGO partner in Mannar district,Completed after alternative financing
Pre-Construction & Approvals,Authority approvals,Colombo,Western Province,1,Design & Technical,0.73,1,0.28,30,HIGH,90,Building plan approval delayed at Colombo Municipal Council due to setback violation,Plan revised and resubmitted to CMC planning division for approval,Ongoing - foundation stage only
Foundations,Foundation work,Vavuniya,Northern Province,1,Environmental & Site,0.72,1,0.63,11,MEDIUM,14,Northeast monsoon rainfall disrupting foundation construction in Vavuniya,Work schedule adjusted to utilise dry weather windows effectively,Completed on revised schedule
Structure,Columns & beams,Vavuniya,Northern Province,1,Labour,0.34,1,0.25,7,MEDIUM,17,Shortage of skilled masons in Vavuniya local area for structural work,Subcontractors hired from Colombo at increased transport and wage cost,Completed with cost overrun
Foundations,Foundation work,Colombo,Western Province,1,Environmental & Site,0.81,1,0.86,10,MEDIUM,30,Colombo urban flooding damaged partially completed first floor foundation walls,Flood damage assessment and comprehensive waterproofing membrane applied,Completed after remedial work
Foundations,Foundation work,Mullaitivu,Northern Province,1,Environmental & Site,0.69,1,0.76,16,MEDIUM,35,Saltwater corrosion of reinforcement near Mullaitivu lagoon site,Galvanised steel used and all affected foundation sections replaced,Completed with additional cost
Foundations,Ground beams,Mullaitivu,Northern Province,1,Environmental & Site,0.82,1,0.75,5,MEDIUM,30,Northeast monsoon flooding of Mullaitivu coastal construction site,Pumps installed and work recommenced after flood water receded,Completed with delay
Structure,Columns & beams,Colombo,Western Province,1,Labour,0.26,1,0.29,13,MEDIUM,14,Skilled construction workers unavailable in Colombo during Sinhala Tamil New Year,Work rescheduled and accelerated during post-festival period,Completed on revised schedule
MEP Rough-Ins,Electrical conduit work,Jaffna,Northern Province,1,Labour,0.31,1,0.37,2,LOW,7,Skilled electrician unavailable in Jaffna for conduit and wiring work,Electrician brought from Colombo with accommodation and transport provided,Completed
Foundations,Foundation work,Kilinochchi,Northern Province,1,Design & Technical,0.57,1,0.31,29,HIGH,55,Foundation design unsuitable for expansive black cotton clay soil in Kilinochchi,Foundation redesigned by structural engineer to raft type on granular fill,Completed after redesign
Structure,Columns & beams,Colombo,Western Province,1,Material Supply & Quality,0.69,0,0.28,57,HIGH,55,Cement shortage in Colombo market during 2022 economic crisis,Bulk purchase arranged through DS Colombo office procurement channel,Completed with cost overrun
Pre-Construction & Approvals,Architectural & structural design,Kalutara,Western Province,1,Owner / Social / Behavioural,0.79,1,0.29,6,MEDIUM,45,Kalutara owner changed house plan completely after roof was already completed,Partial demolition and rebuild done with full structural engineering guidance,Completed with significant cost overrun
Structure,Columns & beams,Kalutara,Western Province,1,Labour,0.41,1,0.33,19,MEDIUM,16,Skilled masons scarce in Kalutara during peak construction holiday season,Workers brought from Galle district on short-term contract with transport,Completed after delay
Foundations,Foundation work,Ampara,Eastern Province,1,Environmental & Site,0.88,1,0.82,3,LOW,13,Monsoon flooding inundated foundation excavation in Ampara coastal area,Water pumps installed and site drainage channel constructed,Ongoing - superstructure stage
Pre-Construction & Approvals,Site selection & surveying,Mannar,Northern Province,1,Owner / Social / Behavioural,0.55,1,0.29,4,LOW,9,Religious auspicious date required before surveying and construction in Mannar,Construction commenced after designated auspicious date ceremony,Completed on revised schedule
Foundations,Soil investigation,Galle,Southern Province,1,Design & Technical,0.74,1,0.84,11,MEDIUM,30,Foundation design unsuitable for Galle coastal sandy soil near beach area,Geotechnical consultant redesigned foundation to pile type for coastal soil,Completed after foundation redesign
Envelope & Waterproofing,Roof waterproofing,Batticaloa,Eastern Province,1,Environmental & Site,0.87,1,0.92,18,MEDIUM,35,Termite infestation destroyed timber roof framework in Batticaloa house,Full termite chemical treatment and complete timber replacement carried out,Completed after treatment
Finishes,Carpentry & joinery,Batticaloa,Eastern Province,1,Labour,0.45,1,0.38,3,LOW,8,Skilled carpenter unavailable for roof timber joinery work in Batticaloa,Carpenter brought from Trincomalee on short-term contract basis,Completed
Pre-Construction & Approvals,Authority approvals,Jaffna,Northern Province,1,Owner / Social / Behavioural,0.56,1,0.33,3,LOW,8,Religious auspicious date delay waiting for Tamil New Year period before starting,New construction date set and work recommenced immediately after,Completed on revised schedule
Pre-Construction & Approvals,Site selection & surveying,Kilinochchi,Northern Province,1,Land & Legal,0.57,1,0.31,8,MEDIUM,35,Boundary dispute with neighbour in resettlement area of Kilinochchi,DS mediation conducted and formal boundary agreement signed,Completed after legal resolution
Pre-Construction & Approvals,Site selection & surveying,Ampara,Eastern Province,1,Land & Legal,0.78,1,0.34,14,MEDIUM,31,Boundary stone missing from Ampara plot causing formal neighbour dispute,Licensed survey conducted and legal boundary agreement signed,Completed with cost overrun
Pre-Construction & Approvals,Site selection & surveying,Batticaloa,Eastern Province,2,Land & Legal,0.89,1,0.38,31,HIGH,384,Inherited land with no clear title deed among multiple siblings in Batticaloa,Land Registry partition action and settlement reached through mediation,Stalled awaiting legal resolution
Pre-Construction & Approvals,BOQ preparation & tendering,Galle,Southern Province,1,Owner / Social / Behavioural,0.65,1,0.85,17,MEDIUM,28,Owner dispute with contractor over quality standard in Galle coastal home,Independent QS engaged and contractor dispute resolved amicably,Completed after dispute resolution
Pre-Construction & Approvals,Site selection & surveying,Mullaitivu,Northern Province,2,Owner / Social / Behavioural,0.72,1,0.33,13,MEDIUM,14,War trauma affecting owner decision making and construction planning in Mullaitivu,Community support worker assisted owner in project management and decisions,Completed with community support
Pre-Construction & Approvals,Architectural & structural design,Gampaha,Western Province,1,Owner / Social / Behavioural,0.8,1,0.28,12,MEDIUM,25,Gampaha owner changed interior layout after partition walls were completed,Partition walls removed and rebuilt to revised layout at additional cost,Completed with cost overrun
Envelope & Waterproofing,Roof waterproofing,Mannar,Northern Province,1,Environmental & Site,0.9,1,0.7,7,MEDIUM,14,Northeast monsoon strong winds damaged temporary roofing framework in Mannar,Reinforced temporary structure installed before recommencing waterproofing,Completed after weather delay
Structure,Floor slabs,Kalutara,Western Province,1,Financial & Funding,0.57,1,0.28,14,MEDIUM,30,NHDA loan instalment withheld pending scheduled Kalutara site inspection,Site inspection completed promptly and funds released after NHDA visit,Completed after funding release
Envelope & Waterproofing,Roof waterproofing,Ampara,Eastern Province,1,Environmental & Site,0.74,1,0.83,7,LOW,10,Northeast monsoon strong winds caused partial roof damage in Ampara,Temporary repair made immediately and permanent fix done post-monsoon,Completed after weather repair
Foundations,Foundation work,Galle,Southern Province,1,Material Supply & Quality,0.81,0,0.87,12,MEDIUM,15,River sand supply disrupted by flooding of Gin Ganga river in Galle,Quarry dust approved as substitute material with structural engineer sign-off,Completed with alternative material
Envelope & Waterproofing,Roof waterproofing,Jaffna,Northern Province,1,Environmental & Site,0.89,1,0.83,1,LOW,10,Northeast monsoon prevented roof waterproofing application in Jaffna,Work window identified between monsoon spells and waterproofing completed,Completed within revised schedule
Envelope & Waterproofing,Roof waterproofing,Galle,Southern Province,1,Environmental & Site,0.73,1,0.86,13,MEDIUM,18,Southwest monsoon heavy rainfall halted roofing and waterproofing in Galle for 12 days,Pre-ordered materials and temporary weather shields used during monsoon,Completed with 2-week schedule compression
Pre-Construction & Approvals,Site selection & surveying,Hambantota,Southern Province,1,Owner / Social / Behavioural,0.58,1,0.27,3,LOW,12,Hambantota owner working in Colombo unable to supervise construction locally,Trusted local relative formally appointed as on-site construction supervisor,Completed with delegated supervision
Foundations,Foundation work,Jaffna,Northern Province,1,Labour,0.44,1,0.34,7,MEDIUM,14,Shortage of skilled masons in Jaffna due to migration to Colombo and Middle East,Subcontractors hired from Vavuniya at increased daily wage of LKR 2500,Completed with 2-week delay
Foundations,Foundation work,Mannar,Northern Province,1,Labour,0.29,1,0.27,10,MEDIUM,20,Death of primary mason during foundation work phase in Mannar,Replacement mason found from Vavuniya and work resumed after two weeks,Completed with net delay
Structure,Floor slabs,Ampara,Eastern Province,1,Financial & Funding,0.75,1,0.36,44,HIGH,107,Incomplete documentation preventing IFRC grant release in Ampara district,Documents completed with legal aid and grant verification expedited,Ongoing - roof level reached
Site Preparation,Earthworks & grading,Jaffna,Northern Province,1,Environmental & Site,0.76,1,0.82,5,MEDIUM,18,Northeast monsoon heavy rainfall flooded site during earthworks in Jaffna,Dewatering pumps installed and work resumed after monsoon subsided,Completed after weather delay
Structure,Columns & beams,Mullaitivu,Northern Province,1,Financial & Funding,0.72,1,0.31,38,HIGH,120,IFRC housing grant disbursement delayed due to documentation backlog,Community mobiliser assigned to expedite document verification,Stalled awaiting funding release
Foundations,Foundation work,Galle,Southern Province,1,Environmental & Site,0.69,1,0.87,0,LOW,10,Saltwater corrosion of steel reinforcement in Galle coastal foundation site,Epoxy coated marine grade steel used and affected sections replaced,Ongoing - wall construction stage
Site Preparation,Earthworks & grading,Matara,Southern Province,1,Environmental & Site,0.56,1,0.77,2,LOW,10,Southwest monsoon strong winds damaged scaffold structure in Matara,Scaffold fully reinforced and work resumed after weather event cleared,Completed after weather repair
Structure,Floor slabs,Galle,Southern Province,1,Financial & Funding,0.6,1,0.28,41,HIGH,55,Bank housing loan disbursement delayed for Galle first-time owner,Documents resubmitted and emergency loan instalment released by bank,Ongoing - roof level reached
Pre-Construction & Approvals,Site selection & surveying,Matara,Southern Province,1,Land & Legal,0.78,1,0.3,12,MEDIUM,45,Boundary dispute with neighbour over Matara residential plot boundary,Licensed surveyor engaged and formal legal agreement prepared and signed,Completed after legal resolution
Envelope & Waterproofing,Masonry work,Jaffna,Northern Province,1,Land & Legal,0.8,1,0.32,29,HIGH,60,Boundary dispute with neighbour halted masonry work on Jaffna plot,Licensed surveyor engaged and legal agreement signed with neighbour,Completed after legal resolution
Foundations,Foundation work,Trincomalee,Eastern Province,1,Environmental & Site,0.7,1,0.86,15,MEDIUM,42,Trincomalee harbour area saltwater corrosion damaged steel reinforcement,Marine grade steel used as replacement in coastal foundation zone,Completed with additional cost
Finishes,Internal plastering,Batticaloa,Eastern Province,1,Material Supply & Quality,0.8,0,0.37,49,HIGH,70,Delays in material delivery to Batticaloa island locations near lagoon,Advance ordering and boat transport via Batticaloa lagoon arranged,Ongoing - plastering stage
Foundations,Foundation work,Matara,Southern Province,1,Design & Technical,0.59,1,0.31,19,MEDIUM,25,Incorrect floor level set causing water pooling inside completed Matara house,Floor level raised and comprehensive internal drainage system installed,Completed after remedial work
Pre-Construction & Approvals,Authority approvals,Jaffna,Northern Province,1,Land & Legal,0.56,1,0.78,29,HIGH,65,Authority approval for Jaffna coastal plot delayed due to CCD buffer zone restriction,Coastal Conservation Department clearance obtained after boundary survey revision,Completed after regulatory approval
Foundations,Foundation work,Gampaha,Western Province,1,Environmental & Site,0.83,1,0.82,7,MEDIUM,15,Unexpected groundwater table encountered during foundation excavation in Gampaha,Geotechnical assessment done and pile foundation type adopted,Completed after foundation design change
Site Preparation,Site clearing & hoarding,Hambantota,Southern Province,1,Environmental & Site,0.7,1,0.69,5,LOW,8,Wild elephant intrusion damaged partially built site hoarding in Hambantota,Heavy duty electric fence installed around entire construction perimeter,Completed with additional protection cost
Structure,Floor slabs,Trincomalee,Eastern Province,1,Financial & Funding,0.74,1,0.41,21,HIGH,107,Incomplete documentation prevented IFRC grant disbursement in Trincomalee,Documents completed with legal aid and grant released after verification,Ongoing - roof level reached
Pre-Construction & Approvals,Authority approvals,Kalutara,Western Province,1,Land & Legal,0.81,1,0.81,16,HIGH,65,Coastal buffer zone encroachment by Kalutara beachfront residence plan,CCD clearance obtained after plan boundary revision and setback compliance,Completed after regulatory approval
Pre-Construction & Approvals,Authority approvals,Trincomalee,Eastern Province,1,Financial & Funding,0.6,1,0.39,44,HIGH,97,Bank loan application rejected in Trincomalee due to unclear land title,Title cleared with legal aid and alternative lender found through NGO,Ongoing - roof level reached
Structure,Roof slab,Kilinochchi,Northern Province,1,Labour,0.32,1,0.29,8,MEDIUM,18,Shortage of skilled tradesmen in Kilinochchi rural post-war area,Labour imported from Jaffna and Vavuniya towns with transport,Completed after delay
Structure,Columns & beams,Galle,Southern Province,1,Labour,0.38,1,0.28,15,MEDIUM,14,Skilled mason shortage in Galle due to migration to Middle East for higher pay,Subcontractor hired from Colombo district at higher daily wage,Completed after delay
MEP Rough-Ins,Plumbing & drainage,Mannar,Northern Province,1,Material Supply & Quality,0.88,0,0.3,13,MEDIUM,30,Building materials delayed due to limited road transport options to Mannar island,Advance bulk ordering and coastal boat transport from mainland arranged,Completed after supply chain improvement
Finishes,Internal plastering,Mullaitivu,Northern Province,2,Material Supply & Quality,0.56,0,0.33,52,HIGH,60,Counterfeit cement purchased from unverified local supplier in Mullaitivu,Structural inspection and rebuild of all failed plastering sections,Completed after quality intervention
Pre-Construction & Approvals,BOQ preparation & tendering,Hambantota,Southern Province,1,Financial & Funding,0.77,1,0.27,60,HIGH,60,Construction loan from State Mortgage Bank delayed in Hambantota district,Interim family financing arranged to maintain construction progress,Completed after bank loan received
Pre-Construction & Approvals,Site selection & surveying,Gampaha,Western Province,1,Land & Legal,0.9,1,0.27,54,HIGH,120,Land title disputed between inherited siblings in Gampaha district,Partition action filed and settlement reached through DS mediation,Completed after legal resolution
Structure,Floor slabs,Mannar,Northern Province,1,Financial & Funding,0.71,1,0.27,50,HIGH,75,Owner personal savings exhausted mid-construction in Mannar district,NHDA supplementary grant applied and construction resumed after approval,Under NHDA review
Envelope & Waterproofing,Masonry work,Mannar,Northern Province,1,Environmental & Site,0.85,1,0.67,10,MEDIUM,38,Coastal erosion near Mannar site boundary threatened masonry wall stability,Retaining wall and rock armouring installed along site boundary first,Completed with coastal protection
Pre-Construction & Approvals,Architectural & structural design,Matara,Southern Province,1,Owner / Social / Behavioural,0.63,1,0.29,14,MEDIUM,35,Matara owner changed house interior plan after partition walls were built,Structural engineer consulted and changes formally incorporated,Completed with revised approved plan
MEP Rough-Ins,Electrical conduit work,Matara,Southern Province,1,Labour,0.39,1,0.26,1,LOW,7,Qualified electrician not available locally in Matara for wiring work,Electrician contracted from Galle on short-term basis with transport,Completed
Pre-Construction & Approvals,Authority approvals,Batticaloa,Eastern Province,1,Land & Legal,0.62,1,0.88,21,HIGH,622,House site under military HSZ restriction in Batticaloa coastal district,HSZ restriction lifted following gazette notification from Ministry,Demolished and restarted after gazette
Structure,Columns & beams,Ampara,Eastern Province,1,Labour,0.4,1,0.77,6,MEDIUM,16,Skilled masons unavailable in remote Ampara Oluvil coastal area,Workers brought from Kalmunai town with daily transport arranged,Completed after delay
Structure,Columns & beams,Batticaloa,Eastern Province,1,Labour,0.41,1,0.4,9,MEDIUM,18,Skilled masons migrated to Colombo or Middle East from Batticaloa,Workers recruited from Ampara district with accommodation on site,Completed after personnel sourcing
Pre-Construction & Approvals,Site selection & surveying,Batticaloa,Eastern Province,1,Owner / Social / Behavioural,0.83,1,0.42,16,HIGH,316,Family dispute among siblings over Batticaloa house ownership rights,Legal mediation through district court resolved ownership title,Partially completed - roof only
Structure,Floor slabs,Mullaitivu,Northern Province,1,Financial & Funding,0.73,1,0.31,29,HIGH,90,Post-war returnee owner lacked construction experience and exceeded budget,Technical assistance provided by UN-Habitat field officer in district,Completed with technical support
Pre-Construction & Approvals,Authority approvals,Galle,Southern Province,1,Land & Legal,0.82,1,0.84,15,HIGH,90,Coastal Conservation Department buffer zone restriction prevented construction in Galle,CCD approval obtained after boundary survey revision and setback compliance,Completed after regulatory approval
Pre-Construction & Approvals,Architectural & structural design,Batticaloa,Eastern Province,1,Design & Technical,0.85,1,0.42,13,MEDIUM,44,Building footprint encroached on road reservation in Batticaloa town,Plan revised and resubmitted to DS Batticaloa planning office,Ongoing - foundation stage
Foundations,Foundation work,Batticaloa,Eastern Province,1,Environmental & Site,0.74,1,0.89,5,MEDIUM,22,Northeast monsoon flooding inundated foundation excavation in Batticaloa,Dewatering pumps and perimeter drainage channel installed on site,Completed after weather delay
Foundations,Foundation work,Kalutara,Western Province,1,Design & Technical,0.72,1,0.77,6,MEDIUM,35,Foundation level set too low causing floor flooding in Kalutara house,Floor screed raised to correct level and proper drainage system installed,Completed after remedial work
